Module,ASIC,Channel,Count,Gain,Offset,StraightFit,FullFit,Centre1,Centre2,Centre3,Centre4
0,2,56,17083,16.277,-3589.72,898.873,2546.31,416.432,535.775,557.967,577.961
0,2,57,17016,16.2813,-3584.41,150.414,2865.78,415.778,536.236,557.223,577.032
0,2,58,16987,16.2952,-3742.4,15724.8,2170.94,426.821,539.648,567.319,589.495
0,2,59,17093,16.4005,-3706.14,4879.12,1722.12,420.929,536.749,561.474,581.653
0,2,60,16636,16.161,-3524.58,763.708,2223.64,415.361,535.716,557.887,578.032
0,2,61,16750,16.2803,-3727.55,236.95,2506.71,424.644,544.999,565.818,586.113
0,2,62,16853,16.2671,-3714.06,7344.89,2045.69,425.177,541.175,565.441,588.187
0,2,63,16762,16.381,-3710.88,1644.7,2046.6,420.905,542.173,559.37,582.013
0,2,64,16922,17.4905,-3956.92,295928,2285.16,410.409,531.786,552.935,532.106
0,2,65,16634,16.2375,-3808.87,629.201,2765.56,430.844,551.541,571.606,593.21
0,2,66,16928,16.458,-3582.45,4164.84,3267.21,410.681,531.618,553.574,567.527
0,2,67,16756,16.207,-3518.63,714.233,2391.78,413.756,533.88,556.313,575.657
0,2,68,16906,16.3204,-3671.49,727.499,2378.58,420.067,541.292,559.738,581.526
0,2,69,16557,16.3199,-3421.64,141.592,2060.01,404.658,526.014,545.207,565.563
0,2,70,16718,15.0747,-3027.45,737.506,1904.6,412.218,541.434,565.715,586.109
0,2,71,16714,16.4954,-3555.02,4329.61,1766.91,409.071,524.928,550.356,567.712
0,2,72,16625,13.1046,-2074.55,21042.2,15264.3,400.704,552.358,584.671,593.41
0,2,73,16889,16.1618,-3583.03,515.84,2145.31,418.394,541.961,560.668,580.338
0,2,74,16510,16.048,-3286.47,41.9,2085.74,403.117,525.941,546.941,566.344
0,2,75,16636,16.2515,-3398.8,225.302,2087.77,404.924,526.309,547.407,565.77
0,2,76,16837,17.7931,-4220.68,281821,2080.9,418.324,535.405,559.66,538.658
0,2,77,16565,16.1611,-3588.03,170.827,2740.22,419.011,540.576,562.05,581.054
0,2,78,16505,16.2995,-3543.58,1674.57,2399.89,412.815,534.34,551.906,574.866
0,2,79,16626,16.3169,-3427.01,149.643,2194.3,405.098,525.706,546.821,565.507
0,2,80,16649,16.6547,-3944.31,98979.3,2565.99,430.718,552.253,550.103,592.865
0,2,81,16732,16.4483,-3736.45,5743.01,1964.75,421.625,536.71,561.878,581.857
0,2,82,16651,16.1188,-3670.5,6850.84,1757.76,424.459,552.001,566.308,585.904
0,2,83,16505,16.3926,-3560.27,7124.54,1982.17,412.515,528.059,551.047,574.594
0,2,84,16557,16.8927,-3764.81,16398.3,7425.78,411.249,526.81,553.502,561.924
0,2,85,16305,16.6125,-3840.29,2307.09,1996.14,423.37,539.38,561.177,582.359
0,2,86,16673,16.2249,-3554.48,4682.39,2153.09,416.113,533.282,558.206,578.545
0,2,87,16613,16.1979,-3676.45,113.612,2691.71,423.582,544.762,565.759,585.636
0,2,88,16455,16.1717,-3774.34,1849.18,2301.18,430.725,549.985,573.246,593.439
0,2,89,16391,16.1757,-3296.54,791.768,2320.83,400.755,522.464,541.66,563.83
0,2,90,16517,16.4952,-3753.79,7580.99,1836.13,421.661,535.665,561.313,581.653
0,2,91,17018,16.1209,-3679.48,86.8252,2516.11,425.757,547.625,568.79,588.443
0,2,92,16488,17.4716,-3998.22,77720.9,3483.55,411.389,523.784,553.997,549.711
0,2,93,16029,16.4424,-3781.63,6563.56,1957.49,424.676,540.075,562.874,586.191
0,2,94,16321,16.3217,-3665.59,1072.93,2179.99,419.704,540.928,559.048,581.327
0,2,95,16173,17.3632,-3872.4,398239,2208.08,410.243,532.471,553.299,526.606
0,2,96,16932,15.2869,-2955.26,401.321,2215.5,401.278,531.508,552.442,572.131
0,2,97,17004,15.2502,-3211.57,643.487,2585.74,419.012,549.594,570.934,589.992
0,2,98,17510,15.4811,-3061.58,3909.81,5037.27,402.799,532.488,554.084,569.654
0,2,99,17956,15.2413,-3045.64,192.633,2175.96,408.608,537.983,560.473,580.173
0,2,100,18810,15.225,-3122.6,770.942,2542.23,413.808,545.14,565.548,585.193
0,2,101,19310,15.1268,-2852.97,1134.53,3430.92,398.711,530.165,552.53,570.682
0,2,102,20413,15.2357,-2918.49,2859.14,2853.2,400.139,530.368,554.039,570.073
0,2,103,21434,14.8971,-2804.05,1418.97,2751.52,401.453,536.52,555.844,576.771
0,2,104,22364,14.9716,-2755.68,1145.52,3057.32,396.27,529.685,551.303,570.101
0,2,105,23752,14.857,-2782.32,1739.07,3402.27,401.045,536.748,555.707,576.832
0,2,106,24839,15.3468,-3221.55,52732,3744.88,418.354,553.079,554.951,592.356
0,2,107,26245,14.8676,-2849.7,2541.13,3903.51,405.155,541.177,560.547,580.1
0,2,108,27414,15.2753,-3133.58,796.548,11687.7,413.282,544.193,563.179,584.964
0,2,109,28872,14.9827,-3209.01,200.528,5275.3,426.426,559.054,580.377,601.012
0,2,110,30666,14.8261,-2924.82,1544.75,5262.07,411.565,546.105,568.623,586.799
0,2,111,31839,14.9701,-2960.22,858.061,6089.18,409.989,543.63,564.376,584.226
0,2,112,33621,15.1855,-3045.39,468.116,8716.29,409.972,540.356,562.732,581.781
0,2,113,35412,14.9421,-2924.7,1193.03,6591.28,408.335,542.307,563.436,582.578
0,2,114,36377,14.927,-2950.48,1151.79,8003.31,410.473,544.65,565.586,584.969
0,2,115,38056,14.9182,-2982.78,1010.5,6919.04,412.905,547.076,568.008,587.603
0,2,116,39052,15.1306,-3106.32,822.001,9240.92,415.924,544.564,568.891,589.171
0,2,117,41154,14.957,-2960.9,783.948,9379.48,410.408,544.164,564.755,584.916
0,2,118,41538,14.8719,-2897.43,261.28,8893.05,408.632,542.443,563.591,584.55
0,2,119,42689,14.9457,-2704.86,333.37,8778,393.705,526.996,547.905,568.707
0,2,120,43294,14.9691,-2988.01,765.913,9715.1,411.891,545.471,566.209,586.217
0,2,121,43863,14.9239,-2662.7,972.179,9193.48,391.308,525.355,546.393,565.937
0,2,122,43830,14.9156,-2810.02,3490.67,9342.08,401.116,536.747,556.964,574.798
0,2,123,44234,15.0476,-2981.39,1517.08,10289.9,409.194,542.447,563.339,582.046
0,2,124,44099,14.9915,-2925.56,987.551,10041.8,407.077,540.477,561.538,580.878
0,2,125,43806,14.9893,-2927.28,932.183,9972.39,407.289,540.354,562.059,581.035
0,2,126,43093,15.0335,-2922.18,1159.06,9847.87,405.68,538.967,559.619,578.972
0,2,127,42186,14.9983,-2673.61,893.527,9466.85,390.105,523.491,544.278,563.964
0,3,0,37649,15.1341,-3129.92,403.908,13168.8,416.866,548.462,569.491,589.471
0,3,1,36814,15.124,-3054.05,399.324,12649.6,412.13,543.808,564.853,584.854
0,3,2,36425,15.1445,-3197.94,595.02,11777.3,421.021,552.895,573.416,593.472
0,3,3,35712,15.087,-3275.38,426.72,11432.2,427.803,559.906,580.813,600.978
0,3,4,34998,15.149,-3188.85,461.784,10640.5,420.329,551.966,572.68,592.793
0,3,5,34512,15.1499,-3230.84,209.126,10714.9,423.193,553.987,575.844,595.698
